feature,avg_anova_pval,avg_kw_pval,anova_sig_all,kw_sig_all,sig_folds_anova,sig_folds_kw
eeg_130,1.3806634159774012e-06,2.453152975319483e-06,True,True,5,5
eeg_100,1.6472014924769026e-06,1.3646594004823985e-06,True,True,5,5
eeg_182,1.654956304616537e-06,0.0025994574008604866,True,True,5,5
eeg_91,2.0582726680991425e-06,0.0004174011022081648,True,True,5,5
eeg_186,2.115622889999991e-06,0.006126719581389921,True,True,5,5
eeg_183,2.5386020066606946e-06,7.431441230268121e-07,True,True,5,5
eeg_19,2.648027381444612e-06,1.9724912487498778e-10,True,True,5,5
eeg_286,2.9243017671791397e-06,3.551952636504397e-08,True,True,5,5
eeg_225,3.4013542489264213e-06,0.007425029131134181,True,True,5,5
eeg_45,3.5389573282183906e-06,2.934174868071214e-09,True,True,5,5
eeg_5,4.763124920476772e-06,3.227795460014642e-08,True,True,5,5
eeg_309,5.624076720586776e-06,1.0638084236010806e-05,True,True,5,5
eeg_278,5.6513405224166375e-06,7.007228589748161e-10,True,True,5,5
eeg_283,6.144712932970256e-06,6.545226508381535e-13,True,True,5,5
eeg_40,6.597608335709565e-06,1.510243155226613e-08,True,True,5,5
eeg_11,6.911059067697277e-06,1.75820353428212e-05,True,True,5,5
eeg_251,1.0938852632674074e-05,6.0161058211032195e-24,True,True,5,5
eeg_96,1.2053277669527538e-05,4.9598053596474245e-06,True,True,5,5
eeg_265,1.5734950847213193e-05,0.00033918935447909684,True,True,5,5
eeg_51,1.6983314106636314e-05,2.8344098927943916e-11,True,True,5,5
eeg_65,1.8776656077029467e-05,6.350486739963433e-12,True,True,5,5
eeg_36,1.9318438693584132e-05,4.870232650726457e-09,True,True,5,5
eeg_271,2.0612333337869516e-05,2.2907420031612944e-20,True,True,5,5
eeg_296,2.7825226335901378e-05,1.9211876596476872e-07,True,True,5,5
eeg_151,3.394189378440766e-05,1.7268774428106368e-26,True,True,5,5
eeg_191,3.7805542583547876e-05,2.8947527917129395e-15,True,True,5,5
eeg_139,5.2611937040219094e-05,0.04137518587877417,True,True,5,4
eeg_284,5.670304916974945e-05,5.022048353308487e-07,True,True,5,5
eeg_184,7.300828129349763e-05,0.23529952075731816,True,False,5,2
eeg_150,8.00325428013446e-05,5.949062789903785e-29,True,True,5,5
eeg_80,8.069308883337759e-05,2.7991511654384677e-07,True,True,5,5
eeg_220,8.109132386553826e-05,0.10316081531717583,True,False,5,4
eeg_304,8.785208119553326e-05,2.3485350105697257e-05,True,True,5,5
eeg_24,9.159285990352195e-05,2.889698234226884e-07,True,True,5,5
eeg_0,9.677333717299127e-05,2.15267369441835e-06,True,True,5,5
eeg_181,0.00012882031366214493,0.1532302039054229,True,False,5,3
eeg_85,0.00013820098197952945,2.0751010486050756e-07,True,True,5,5
eeg_18,0.00019358401628785896,4.0525155368919354e-14,True,True,5,5
eeg_234,0.00020961934835367745,7.501511993139355e-05,True,True,5,5
eeg_279,0.0002116674890688911,0.00019887825246713977,True,True,5,5
eeg_274,0.0003343528131485698,0.005057097250061804,True,True,5,5
eeg_15,0.000410878905553714,1.6017028506538934e-07,True,True,5,5
eeg_178,0.00049618686746161,2.6141866853474018e-08,True,True,5,5
eeg_176,0.0004983704494542146,4.315142941435303e-09,True,True,5,5
eeg_46,0.0005259035164622084,0.0010877628564188232,True,True,5,5
eeg_267,0.0007533443002722978,2.808976417670355e-20,True,True,5,5
eeg_145,0.0007758256507936748,4.3969937447784405e-12,True,True,5,5
eeg_299,0.0007995489256533391,0.0001593814730880959,True,True,5,5
eeg_136,0.0010211639385210559,0.017008367947784406,True,True,5,4
eeg_17,0.0010837237338875913,7.064389535485916e-15,True,True,5,5
eeg_196,0.0010877664568728564,2.1746601931701105e-18,True,True,5,5
eeg_140,0.001088763811103,1.4653530212782642e-05,True,True,5,5
eeg_224,0.0017153696337051643,2.9426626157078274e-05,True,True,5,5
eeg_143,0.001759301756622229,1.049565919860745e-09,True,True,5,5
eeg_20,0.001911463662145501,0.0011066923930168017,True,True,5,5
eeg_141,0.0022708000031675464,1.0271294365383178e-07,True,True,5,5
eeg_6,0.0023109836912172006,0.00043613155081191916,True,True,5,5
eeg_175,0.0023274958742600872,0.0013428231893116772,True,True,5,5
eeg_268,0.002772299736332833,1.76501876813963e-14,True,True,5,5
eeg_190,0.0034219848795954194,1.4738606475215258e-16,True,True,5,5
eeg_231,0.0034565297364699253,1.8037422173565134e-14,True,True,5,5
eeg_180,0.003946659956920441,4.7454653316014385e-07,True,True,5,5
eeg_281,0.004193663542260854,3.125412100010555e-20,True,True,5,5
eeg_230,0.004909057286312518,0.27779212331237246,True,False,5,2
eeg_221,0.005049512526837413,3.9179101358097414e-11,True,True,5,5
eeg_142,0.005706064020790868,1.1917088075168706e-06,True,True,5,5
eeg_241,0.0057281434127870595,7.142610175234721e-17,True,True,5,5
eeg_201,0.005748493662903484,1.0921793748497336e-10,True,True,5,5
eeg_226,0.006772749543396376,0.00010398819005284345,True,True,5,5
eeg_246,0.009601912191960726,1.1833192736410807e-17,True,True,5,5
eeg_21,0.011488997127666205,4.310511549557736e-06,True,True,4,5
eeg_270,0.011494275430326452,0.015570034590800036,True,True,5,4
eeg_245,0.012550118081967229,1.3096777156249333e-09,True,True,5,5
eeg_236,0.012771922800921418,4.655913603856973e-15,True,True,4,5
eeg_60,0.014143750109673734,4.098683116606301e-05,True,True,4,5
eeg_276,0.014496843518294025,8.981303990371533e-19,True,True,4,5
eeg_227,0.016877810880637646,7.3705973444024855e-09,True,True,4,5
eeg_200,0.02291134501772517,4.50520824888088e-10,True,True,4,5
eeg_30,0.023301187337666764,1.9982147540160768e-07,True,True,4,5
eeg_35,0.028062939600757168,0.05584825268264333,True,False,3,3
eeg_305,0.030278535377117954,7.886219430010218e-07,True,True,4,5
eeg_1,0.03143226737222184,0.007801480132978903,True,True,4,5
eeg_195,0.03392321725647134,2.8414318913282128e-15,True,True,4,5
eeg_185,0.0357047678974072,0.0005366813245069269,True,True,4,5
eeg_280,0.03819783129693092,1.7181395235858905e-08,True,True,3,5
eeg_266,0.039487032572959324,1.3673519924579223e-09,True,True,4,5
eeg_229,0.043425940922238886,0.005538484528863957,True,True,4,5
eeg_177,0.04964073206234913,4.958379684292431e-05,True,True,4,5
eeg_240,0.06522654103804644,0.0009250880082698956,False,True,3,5
eeg_90,0.06937969023420139,5.012851852840295e-07,False,True,2,5
eeg_228,0.09005614634170168,3.2671114817860534e-05,False,True,4,5
eeg_300,0.09448505037206452,4.384767118645037e-05,False,True,2,5
eeg_275,0.0961418630951318,0.00018840562391305566,False,True,2,5
eeg_41,0.09961124754121609,0.006163688972793623,False,True,3,5
eeg_301,0.10346938803979369,1.6662378392736217e-13,False,True,3,5
eeg_235,0.10857871654826359,0.004709709090792007,False,True,2,5
eeg_269,0.11373570735560909,0.01553756088137993,False,True,3,5
eeg_55,0.12080766595743575,0.1841377491202688,False,False,4,3
eeg_306,0.13683670326047437,1.4679662947755076e-11,False,True,3,5
eeg_95,0.19083279945126025,0.003171345892221754,False,True,2,5
eeg_16,0.31957292888991773,0.0908347401109216,False,False,1,4
eeg_50,0.37274372259608085,0.03610066074665884,False,True,3,4
